;Aalst, prof.dr.ir. W.M.P. van der;Bansal, prof.dr. N.;Berg, prof.dr. M.T. de;Berkel, prof.dr.ir. C.H. van;Borst, prof.dr.ir. S.C.;Boxma, prof.dr.ir. O.J.;Bra, prof.dr. P.M.E. De;Brand, prof.dr. M.G.J. van den;Brummelen, prof.dr.ir. E.H. van;Cuypers, prof.dr. F.G.M.T.;Daas, prof.dr. P.J.H.;Dongen, prof.dr.ir. B.F. van;Draisma, prof.dr.ir. J.;Etalle, prof.dr. S.;Florack, prof.dr. L.M.J.;Groote, prof.dr.ir. J.F.;Heuvel, prof.dr. E.R. van den;Hofstad, prof.dr. R.W. van der;IJzerman, prof.dr.ir. W.L.;Koren, prof.dr.ir. B.;Lange, prof.dr. T.;Leeuwaarden, prof.dr. J.S.H. van;Liere, prof.dr.ir. R. van;Litvak, dr. N.V.;Lukkien, prof.dr. J.J.;Michiels, prof.dr.ir. W.P.A.J.;Pechenizkiy, prof.dr. M.;Peletier, prof.dr. M.A.;Petkovic, prof.dr. M.;Reijers, prof.dr.ir. H.A.;Schilders, prof.dr. W.H.A.;Slot, prof.dr. J.J.M.;Speckmann, prof.dr. B.;Spieksma, prof.dr. F.C.R.;Vinju, prof.dr. J.J.;Vlieg, prof.dr. J. de;Wijk, prof.dr.ir. J.J. van;Zwart, prof.dr. A.P.
Pechenizkiy, prof.dr. M.;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Peletier, prof.dr. M.A.;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
Petkovic, prof.dr. M.;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
Reijers, prof.dr.ir. H.A.;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Schilders, prof.dr. W.H.A.;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
Slot, prof.dr. J.J.M.;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
Speckmann, prof.dr. B.;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Spieksma, prof.dr. F.C.R.;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Vinju, prof.dr. J.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Vlieg, prof.dr. J. de;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Wijk, prof.dr.ir. J.J. van;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Zwart, prof.dr. A.P.;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
